ID_NF_ENTRADA,DATA_VENCIMENTO,DATA_PGT_EFETUADO,VALOR_PARCELA_PAGO
10,2023-06-01,2023-06-01,63000.00
10,2023-07-01,2023-07-01,63000.00
10,2023-08-01,2023-08-01,63000.00
11,2023-06-01,2023-06-01,24333.33
11,2023-07-01,2023-07-01,78500.00
12,2023-06-01,2023-06-01,78500.00
12,2023-07-01,2023-07-01,78500.00
13,2023-07-01,2023-07-01,115000.00
14,2023-07-01,2023-07-01,115000.00
15,2023-06-01,2023-06-01,18250.00
15,2023-07-01,2023-07-01,18250.00
15,2023-08-01,2023-08-01,18250.00
15,2023-09-01,2023-09-01,18250.00
16,2023-06-01,2023-06-01,73000.00
16,2023-07-01,2023-07-01,18250.00
16,2023-08-01,2023-08-01,18250.00
16,2023-09-01,2023-09-01,18250.00
17,2023-06-01,2023-06-01,189000.00
18,2023-06-01,2023-06-01,73000.00
19,2023-06-01,2023-06-01,157000.00
20,2023-06-01,2023-06-01,78750.00
