NUMERO_NF,VALOR_RECEBIDO,DATA_VENCIMENTO,DATA_RECEBIMENTO,DATA_PROCESSAMENTO
9520221,85682.56,2023-08-26,2023-08-12,2023-09-01
9520221,86151.28,2023-09-26,2023-09-14,2023-09-01
9520221,89071.09,2023-10-26,2023-10-21,2023-09-01
9453154,51343.28,2023-08-26,2023-08-14,2023-09-01
9453154,54399.99,2023-09-26,2023-10-10,2023-09-01
9453154,53623.73,2023-10-26,2023-10-28,2023-09-01
8538797,70484.19,2023-07-26,2023-07-11,2023-09-01
8538797,70742.25,2023-08-26,2023-08-13,2023-09-01
8538797,72146.82,2023-09-26,2023-09-23,2023-09-01
6859686,74799.99,2023-08-26,2023-09-09,2023-09-01
6672198,50997.63,2023-09-26,2023-09-11,2023-09-01
6672198,52674.76,2023-10-26,2023-10-23,2023-09-01
5633695,52421.56,2023-07-26,2023-07-21,2023-09-01
5633695,52001.88,2023-08-26,2023-08-20,2023-09-01
