NOME_FORNECEDOR,CNPJ_FORNECEDOR,EMAIL_FORNECEDOR,TELEFONE_FORNECEDOR,NUMERO_NF,DATA_EMISSAO,VALOR_NET,VALOR_TRIBUTO,VALOR_TOTAL,NOME_ITEM,QTD_ITEM,CONDICAO_PAGAMENTO,CEP,NUM_ENDERECO,COMPLEMENTO,TIPO_ENDERECO,DATA_PROCESSAMENTO
Ankunding,96088807806135,ccaudrey27@hostgator.com,722-35-9907,9984109,2023-08-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-08-01
Barton-Breitenberg,76754841184021,myelden1u@usatoday.com,763-57-5758,1425752,2023-08-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60/90 dias,12605120,917,LOTE 70,fornecedor,2023-08-01
Ankunding,96088807806135,ccaudrey27@hostgator.com,722-35-9907,5950874,2023-08-01,110000,5000,115000,Cooper,1,Entrada/30 dias,12605070,1223,,fornecedor,2023-08-01
Baumbach Kuvalis and Jacobson,91551047337401,ahancock25@wsj.com,214-28-9058,6220627,2023-08-01,110000,5000,115000,Cooper,1,A vista,12605130,99,,fornecedor,2023-08-01
Bednar and Sons,36723912830595,oschroeder2k@ocn.ne.jp,133-95-3943,3614401,2023-08-01,70000,3000,73000,Azera,1,Entrada/30/60 dias,12605140,445,LOTE 57,fornecedor,2023-08-01
Bogan-Rice,10134800710443,ablazewicz2q@drupal.org,329-18-0427,6705751,2023-08-01,180000,9000,189000,Escalade ESV,1,Entrada/30/60 dias,12605150,133,,fornecedor,2023-08-01
Bogisich O'Keefe and Feil,93842293730171,bogissfh.ss@ss.com,742-63-3038,2813665,2023-08-01,150000,7000,157000,Tacoma,1,Entrada/30 dias,12605160,693,LOTE 80,fornecedor,2023-08-01
Franecki LLC,25389835114278,kloudian1d@slate.com,441-81-5537,3545000,2023-08-01,150000,7000,157000,S10,1,30 dias,41300991,436,LOTE 26,fornecedor,2023-08-01
Friesen Group,47372853673510,llydster2m@forbes.com,266-02-9175,4692096,2023-08-01,70000,3000,73000,Azera,1,30 dias,41301005,100,,fornecedor,2023-08-01
Fritsch Renner and Nikolaus,49025898594759,scockinr@foxnews.com,661-90-8387,5603214,2023-08-01,150000,7000,157000,Tacoma,1,30/60 dias,41301010,111,LOTE 42,fornecedor,2023-08-01
Gerhold-Treutel,29145434474853,sputteng@biblegateway.com,573-03-8530,1767514,2023-08-01,300000,15000,315000,Boxster,1,Entrada/30/60/90 dias,41301015,66,LOTE 14,fornecedor,2023-08-01
Ebert Inc,93421312653948,lallans1x@state.gov,778-53-4836,9750271,2023-08-01,180000,9000,189000,Escalade ESV,1,A vista,41300760,655,,fornecedor,2023-08-01
